youtube_id,title,duration_sec,guessed_tournament_id,tournament_guess_label,year,kind,stage,leg,score,player_a_guess,player_a_id_guess,player_b_guess,player_b_id_guess,game_id_guess,source,source_channel,source_playlist,relation_group,relation,featured_final,confidence,verified,notes,external_url
vLaFZAHJXx8,KOA WC 2010  - SilverCupFinal - Rodolfo vs Lorenzo.wmv,886,480,World Cup X (Dusseldorf),2010,match,silver,,4 - 4,Rodolfo M,389,Lorenzo L,254,18433,forum_index,ko2cv,,forum-the-2010-gathering-dusseldorf-germany-silver-cup-final-rodolfo-m-lorenzo-l-4-4,canonical,false,high,Y,Also in: ko2cv_channel,
vbivDdeLYzQ,"Kick Off 2 Amiga, WC 2008 Athens, Game of Shame",731,358,World Cup VIII (Athens),2008,excluded,shame,,,,,,,,alkelele_channel,alkelele,,dup-I74mFcUp2wc,alternate_recording,false,low,Y,duplicate of ko2cv Athens08 shame upload,
vhkErNXiD6E,Kick Off 2 World Cup 2024 - Final FabioF vs GianniT,1391,20,World Cup XXII (Nottingham),2024,match,final,,,Fabio F,109,Gianni T,149,"26878,26879",wc_finals_playlist,,PL_BZxDPPd88YKbQHLod_1EFHPa2iJSIQY,,,false,high,,Also in: ko2cv_channel; dual-leg video (duration>=20min),
vs1-bHEHIdI,"Kick Off 2 Amiga, WC 2004 Milano, Third place final leg 1, Steve C - Nikos A (1 - 3)",700,140,World Cup IV (Milan),2004,match,final,1,1 - 3,Steve C,421,Nikos A,338,4902,forum_index,alkelele,,,,false,high,,Also in: alkelele_channel,http://www.ko-gathering.com/media/tournaments/Milan2004/videos/WC2004_3rd4thA_SteveC_Nikos.wmv
vwxDwQoC1r0,"Kick Off 2 World Cup 2016 - Semi Final B, Leg 1 - Oliver vs Gianni",688,596,World Cup XVI (Milan),2016,match,semi,1,,Oliver St,345,Gianni T,149,23897,ko2cv_channel,ko2cv,,,,false,low,,,
vxoUhV8syYU,KOA_WC2006_01_Semi1_Part1_Gianni_vs_Spyros,662,,,,stream,,,,,,,,,ko2cv_channel,ko2cv,,,,false,low,,,
wLuM-cofHJc,"Kick Off 2 Amiga, WC 2004 Milano, KOA Cup Final leg 2, Riccardo P - Luca A (4 - 3)",737,140,World Cup IV (Milan),2004,match,final,2,4 - 3,Riccardo P,380,Luca A,256,4951,forum_index,alkelele,,,,false,high,,Also in: alkelele_channel,http://www.ko-gathering.com/media/tournaments/Milan2004/videos/WC2004_KOACupA.wmv
wTqyB6iHKjU,"Kick Off 2 Amiga, WC 2008 Athens, The Final leg 1, Dagh N - Gianni T (6 - 4)",704,358,World Cup VIII (Athens),2008,match,final,1,6 - 4,Dagh N,73,Gianni T,149,14262,wc_finals_playlist,,PL_BZxDPPd88YKbQHLod_1EFHPa2iJSIQY,,,true,high,,"Also in: alkelele_channel, forum_index",http://www.kickoff2.it/tmp/video_ko2/wc2008/Athens08_08_Final_A_Dagh_Gianni_6-4.avi
wrtBAbLNvpk,"Kick Off 2 Amiga, WC 2002 Athens, Quater Finals leg 2, Martin B - Alkis P (3 - 4)",640,66,World Cup II (Athens),2002,match,quarter,2,3 - 4,Martin B,291,Alkis P,14,1711,forum_index,alkelele,,,,false,high,,Also in: alkelele_channel,http://www.ko-gathering.com/media/tournaments/Athens2002/videos/Quarters1%20-%20Klaus%20vs%20Jim.WMV
ws1Z7pYGvmA,Kick Off 2 WC2009 9 Final 2 Spyros vs Gianni,661,418,World Cup IX (Voitsberg),2009,match,final,,6 - 7,Spyros P,410,Gianni T,149,16402,wc_finals_playlist,,PL_BZxDPPd88YKbQHLod_1EFHPa2iJSIQY,,,true,high,,"Also in: forum_index, ko2cv_channel",
wyfn0CGhpIA,"Kick Off 2 Amiga, WC 2009 Voitsberg, Game Of Shame, Andreas vs Astrid",659,418,World Cup IX (Voitsberg),2009,match,shame,,0 - 1,Andreas Kl,21,Astrid L,41,16355,forum_index,alkelele,,dup-wyfn0CGhpIA,alternate_recording,false,high,Y,Also in: alkelele_channel,
x75FXgxT9f0,Kick Off 2 World Cup 2014 - Silver Cup - Mark vs Ektoras,742,577,World Cup XIV (Copenhagen),2014,match,silver,,,Mark W,286,Ektoras K,100,22420,ko2cv_channel,ko2cv,,,,false,low,,,
